node1,node2
386,462
272,465
348,488
462,386
100,466
356,442
465,272
343,476
488,348
325,468
145,460
254,250
398,470
466,100
181,456
80,438
442,356
460,145
476,343
250,254
468,325
230,433
470,398
456,181
206,235
438,80
170,268
454,422
94,387
433,230
362,459
242,333
45,162
14,332
440,424
235,206
322,474
274,282
316,353
239,414
268,170
98,371
295,369
231,400
387,94
305,120
332,14
162,45
219,418
389,328
424,440
474,322
234,453
422,454
333,242
282,274
459,362
270,447
91,138
353,316
188,384
143,190
345,427
264,463
371,98
414,239
432,403
369,295
193,409
228,494
328,389
443,173
238,450
120,305
400,231
138,91
418,219
190,143
463,264
453,234
381,350
173,443
427,345
447,270
361,372
374,426
384,188
164,360
304,487
494,228
76,309
450,238
420,484
409,193
152,209
327,445
263,275
329,283
255,416
17,97
