node1,node2
323,428
234,419
345,131
292,477
333,478
478,333
232,246
295,402
402,295
270,426
202,441
441,202
337,305
242,367
50,489
102,414
104,437
341,444
68,191
305,337
298,424
4,436
21,411
60,456
254,317
186,219
414,102
191,68
93,176
181,215
437,104
166,340
219,186
317,254
176,93
225,315
340,166
308,325
28,396
70,445
20,342
246,232
39,319
158,431
133,420
95,280
215,181
67,486
150,471
209,114
306,196
114,209
64,326
318,358
118,264
230,189
100,405
86,187
207,239
210,247
486,67
25,261
172,241
1,273
164,103
196,306
112,277
239,207
187,86
189,230
405,100
289,123
35,116
261,25
116,35
315,225
121,206
103,164
33,200
206,121
26,250
24,309
109,122
250,26
66,198
49,177
129,48
153,297
264,118
297,153
92,168
365,195
398,162
389,144
372,113
327,132
294,188
231,180
363,197
268,194
