node1,node2
211,191
360,29
311,194
272,86
249,182
340,20
287,82
317,169
338,158
301,61
328,78
289,135
237,131
319,73
280,126
323,175
295,189
351,150
391,105
345,48
315,98
364,168
242,114
310,27
205,90
371,71
279,67
240,44
325,117
380,100
354,63
353,43
309,47
374,52
296,53
261,139
227,134
291,187
352,74
243,138
314,7
396,81
202,108
245,185
373,101
347,45
302,148
367,32
239,142
209,17
397,3
368,165
215,181
281,137
339,57
283,18
358,40
322,88
346,0
357,6
254,123
294,111
377,193
230,12
381,66
326,76
218,104
255,87
300,115
307,85
224,31
278,145
330,146
248,80
394,46
221,179
222,183
359,171
343,13
395,96
266,164
305,55
384,161
219,178
316,60
264,160
233,141
350,91
312,127
321,83
333,173
342,140
313,167
200,170
382,192
256,102
329,444
370,483
460,121
474,433
