node1,node2
296,251
179,220
324,185
251,296
126,345
421,311
256,288
294,343
191,410
405,385
326,188
177,344
345,126
307,354
278,151
220,179
302,374
66,362
297,205
132,295
414,380
76,402
279,348
146,408
109,478
130,331
36,439
174,416
100,381
265,441
189,424
68,477
106,444
137,428
322,113
29,419
101,320
155,442
46,339
42,194
344,177
85,328
308,237
235,471
374,302
205,297
288,256
54,488
6,426
153,330
224,305
301,272
260,367
80,310
82,283
113,322
188,326
311,421
121,290
103,470
25,368
95,357
274,433
96,407
354,307
258,351
59,333
478,109
150,373
346,192
157,206
194,42
107,175
441,265
250,371
385,405
89,231
217,144
182,406
201,420
304,300
37,281
330,153
180,427
207,418
196,315
295,132
169,316
170,352
471,235
148,359
117,360
402,76
236,397
164,233
214,193
357,95
242,329
272,301
488,54
