node1,node2
107,254
64,213
175,53
227,3
409,408
451,385
437,262
75,276
485,155
275,109
334,362
12,479
307,174
259,32
351,182
119,390
126,343
7,170
454,495
428,5
354,115
22,271
9,184
289,492
243,130
265,48
368,475
167,435
66,171
476,68
264,448
456,221
236,57
315,244
235,177
453,498
46,323
341,337
358,127
207,255
332,206
121,45
406,449
209,471
344,300
36,370
261,440
383,488
223,311
226,302
269,295
83,31
330,205
166,487
11,138
100,461
391,342
450,396
122,486
266,84
465,357
420,85
388,308
16,331
97,427
179,489
105,168
61,466
69,232
110,70
253,472
113,193
349,148
24,392
395,29
156,297
147,131
418,239
251,312
219,211
118,220
50,228
399,178
112,290
446,257
336,140
415,197
247,234
404,355
329,237
293,79
150,320
1,325
78,95
378,364
160,143
10,483
382,157
379,248
2,27
