node1,node2
201,122
392,42
365,149
303,174
217,25
324,195
223,89
348,72
270,144
341,119
398,59
372,68
285,147
298,154
258,162
277,62
292,113
208,132
247,157
327,79
379,184
257,97
344,159
265,19
335,110
349,143
228,2
236,8
226,133
225,33
366,199
231,188
207,180
267,93
363,120
318,118
204,30
320,69
356,152
250,109
393,84
336,23
386,15
234,28
297,177
220,51
271,24
378,1
251,106
238,116
293,22
304,49
212,77
306,166
241,186
214,99
253,163
390,34
203,197
284,5
246,155
361,156
337,35
263,128
387,41
229,182
206,95
376,82
244,94
288,75
362,172
369,107
259,125
210,112
389,64
269,21
262,86
235,191
273,194
286,9
290,16
260,151
274,176
213,54
216,73
334,65
388,58
268,26
308,14
275,11
385,198
311,136
272,20
249,4
301,56
211,175
340,39
338,130
287,29
317,135
