node1,node2
425,411
411,425
432,422
422,432
366,278
356,271
303,470
355,472
242,436
325,487
349,445
380,408
236,427
271,356
278,366
348,406
470,303
246,313
247,328
489,359
436,242
472,355
234,48
287,279
310,350
427,236
338,441
232,369
408,380
487,325
327,157
445,349
188,397
328,247
406,348
340,473
220,360
323,339
313,246
359,489
399,78
204,352
48,234
279,287
322,154
392,384
369,232
350,310
157,327
441,338
225,476
205,462
376,29
311,84
249,106
447,123
251,135
397,188
360,220
375,245
293,324
335,373
229,426
305,174
469,395
315,488
272,347
78,399
458,297
473,340
352,204
339,323
136,296
154,322
452,166
29,376
84,311
443,405
106,249
321,459
476,225
135,251
123,447
434,191
462,205
385,92
206,224
384,392
174,305
386,308
341,132
337,89
213,120
358,175
426,229
324,293
45,319
185,402
373,335
485,282
