node1,node2
305,414
414,305
486,424
488,441
437,478
441,488
424,486
478,437
453,102
470,407
407,470
102,453
392,174
212,195
365,191
303,147
217,154
234,162
324,113
398,157
389,184
372,97
262,159
285,103
277,143
292,132
208,158
327,131
379,199
257,188
344,180
335,172
366,155
231,144
267,152
363,92
356,111
393,106
336,119
386,123
214,64
345,116
251,124
297,84
271,95
207,166
298,135
270,77
226,74
390,70
348,149
260,186
337,79
284,89
318,197
361,51
308,127
240,99
378,76
387,156
246,98
247,55
241,2
258,54
288,128
320,41
362,68
272,114
250,110
369,29
205,78
263,72
269,57
341,60
223,75
242,63
248,48
259,47
238,10
204,16
220,24
213,62
334,104
388,36
268,112
225,109
222,31
200,142
385,85
354,15
368,27
255,39
218,87
265,71
229,4
236,49
332,19
206,67
301,43
340,81
