node1,node2
200,184
184,200
382,421
59,208
250,129
208,59
28,223
421,382
129,250
223,28
410,461
320,190
313,156
156,313
414,387
387,414
461,410
190,320
489,365
470,374
93,114
207,289
439,311
444,343
492,337
435,483
277,164
327,215
375,21
226,445
344,281
137,55
458,486
248,301
20,451
312,403
386,229
269,30
163,326
291,15
447,10
102,210
17,133
252,465
357,278
32,366
35,280
54,117
6,394
263,104
338,256
175,95
315,1
379,255
171,14
99,321
186,233
308,239
29,342
347,296
73,258
96,401
161,484
5,371
139,236
472,240
279,143
424,103
199,399
426,462
194,404
328,405
466,261
264,369
359,166
385,211
66,477
300,299
270,340
181,415
288,418
287,125
487,43
380,179
246,480
212,60
433,48
384,42
449,428
430,51
206,452
178,53
88,274
112,34
9,478
310,47
24,442
185,101
160,23
83,494
