node1,node2
497,370
481,34
432,486
496,242
464,0
438,232
498,129
413,140
494,268
365,369
482,237
483,19
454,22
462,180
434,3
479,223
499,209
488,398
357,493
32,480
485,306
484,419
144,469
422,307
459,436
401,10
470,421
460,211
455,318
353,277
308,474
215,429
406,78
372,437
240,409
478,491
371,426
439,263
493,357
315,440
366,463
410,188
307,422
10,401
469,144
472,149
443,194
468,87
453,338
444,430
474,308
383,16
363,375
368,387
318,455
389,172
263,439
78,406
426,371
277,353
429,215
121,466
427,450
409,240
421,470
42,445
342,447
492,298
399,312
334,382
457,184
188,410
29,425
113,465
381,428
244,394
418,490
16,383
390,458
194,443
333,326
341,219
463,366
172,389
475,331
87,468
312,399
461,105
131,477
160,405
305,442
338,453
489,322
387,368
156,448
326,333
75,408
440,315
375,363
466,121
