node1,node2
196,28
205,129
129,205
59,223
130,271
223,59
203,156
271,130
200,410
156,203
184,116
39,72
351,313
313,351
116,184
38,208
208,38
327,374
470,394
32,164
93,220
207,278
186,215
466,445
6,343
315,301
386,366
435,15
447,114
263,30
277,465
269,289
248,281
444,1
439,37
291,311
332,451
385,321
54,65
20,337
17,256
161,229
102,21
194,104
357,14
219,117
127,95
163,255
458,16
312,10
424,77
287,55
99,280
73,238
171,210
375,133
86,233
201,239
175,486
66,326
226,403
379,342
344,404
252,415
264,331
308,166
270,103
139,369
96,179
426,290
487,378
338,106
5,211
328,258
288,261
36,405
492,113
137,173
199,240
29,48
92,236
279,43
35,42
359,101
19,51
347,34
110,47
181,272
115,276
145,23
380,18
300,418
212,477
430,33
246,53
433,60
169,170
267,442
247,157
112,452
