node1,node2
132,333
313,205
323,227
361,230
116,457
205,313
184,152
227,323
259,78
297,158
244,275
333,132
317,189
325,28
152,184
282,305
78,259
298,223
146,242
28,325
158,297
189,317
275,244
305,282
241,129
223,298
242,146
97,72
129,241
191,81
72,97
81,191
131,206
68,183
183,68
80,105
59,121
206,131
105,80
121,59
470,374
466,394
308,290
315,445
447,343
248,301
269,465
175,311
287,451
288,321
110,278
444,289
207,486
291,281
332,403
385,276
327,342
435,256
161,114
201,215
139,415
267,331
163,366
226,240
73,369
277,233
458,106
312,405
424,340
169,220
54,255
375,236
357,166
36,231
379,217
66,309
344,326
386,167
19,157
92,202
439,103
252,469
32,58
6,100
86,51
112,149
246,14
17,210
426,228
279,404
88,418
487,477
5,122
338,274
20,299
102,337
83,15
199,34
219,261
186,316
