source,target
182,206
144,474
57,310
20,444
8,310
6,470
206,182
474,144
310,57
444,20
310,8
470,6
178,490
13,411
490,178
411,13
293,490
266,349
26,441
2,376
490,293
349,266
441,26
376,2
467,490
411,460
310,471
127,201
82,310
66,344
50,310
13,474
490,467
460,411
471,310
201,127
310,82
344,66
310,50
474,13
24,467
19,137
467,24
137,19
63,310
32,470
26,490
20,379
310,63
470,32
