node1,node2
297,406
361,409
325,491
379,374
351,446
446,351
324,0
330,353
356,421
353,330
0,324
397,284
412,333
326,431
322,250
423,411
284,397
298,295
410,368
421,356
323,296
333,412
359,367
250,322
406,297
279,321
296,323
363,263
320,17
328,402
367,359
263,363
346,290
17,320
321,279
277,396
196,345
262,392
271,266
290,346
310,306
334,257
232,226
475,417
260,318
26,231
345,196
226,232
396,277
266,271
293,281
230,307
229,314
231,26
306,310
191,276
318,260
307,230
331,304
300,407
227,242
269,249
8,319
59,274
276,191
417,475
242,227
286,190
314,229
292,294
285,268
216,329
343,136
222,109
274,59
259,177
319,8
268,285
407,300
156,179
304,331
203,360
329,216
136,343
264,354
115,169
114,316
198,131
169,115
177,259
179,156
247,237
131,198
295,298
244,61
294,292
316,114
145,172
112,137
61,244
