node1,node2
387,420
223,406
159,443
420,387
406,223
488,314
250,468
443,159
382,249
314,488
192,346
468,250
249,382
363,208
346,192
204,230
208,363
230,204
358,123
123,358
461,129
129,461
410,307
307,410
241,38
38,241
466,374
489,215
308,18
287,236
385,404
332,240
246,296
175,484
375,98
252,218
139,462
194,117
270,278
315,477
8,238
112,104
430,228
328,331
73,365
88,446
102,465
424,122
472,43
92,276
54,258
277,77
393,103
201,95
6,202
344,369
5,281
161,37
66,372
222,210
263,261
291,299
147,14
447,164
267,474
279,321
178,326
177,220
212,366
64,1
338,55
83,70
487,10
470,15
169,255
264,428
444,415
99,16
20,233
288,265
86,30
19,394
248,290
207,107
2,434
300,480
26,60
199,378
433,42
9,337
186,235
435,179
17,62
312,496
29,483
35,403
269,371
458,53
327,170
449,48
