node1,node2
422,401
401,422
328,443
443,328
357,428
351,398
241,394
247,499
428,357
398,351
444,220
394,241
461,284
458,364
499,247
431,484
279,338
356,495
220,444
334,385
284,461
364,458
484,431
368,369
338,279
495,356
385,334
384,366
245,296
296,245
366,384
369,368
232,407
379,477
429,299
147,412
473,197
367,333
419,265
450,165
397,359
407,232
477,379
327,482
191,440
412,147
265,419
341,256
198,475
299,429
333,367
165,450
433,268
197,473
359,397
347,378
425,329
346,404
440,191
441,217
439,140
475,198
482,327
468,374
256,341
416,434
378,347
268,433
404,346
329,425
354,295
148,324
140,439
217,441
424,466
374,468
282,388
261,303
393,196
406,190
292,271
447,376
229,420
324,148
387,498
388,282
196,393
303,261
295,354
434,416
466,424
67,225
271,292
496,231
190,406
175,290
380,200
304,403
432,246
309,389
