node1,node2
328,401
334,484
401,328
422,369
351,443
484,334
444,366
369,422
433,220
450,284
443,351
327,499
366,444
346,364
458,338
387,482
220,433
461,394
284,450
357,299
499,327
429,398
364,346
379,374
482,387
338,458
269,271
437,470
234,498
162,296
299,357
394,461
347,290
352,454
374,379
471,475
419,333
398,429
296,162
271,269
232,246
279,412
498,234
470,437
247,370
454,352
290,347
425,359
414,403
475,471
333,419
191,421
246,232
359,425
406,477
370,247
403,414
377,404
368,217
412,279
307,378
416,303
367,104
198,427
421,191
386,306
342,276
473,196
477,406
496,197
241,256
104,367
303,416
156,465
404,377
427,198
306,386
378,307
163,184
88,407
217,368
262,453
317,95
276,342
219,483
256,241
196,473
184,163
153,193
465,156
197,496
453,262
266,295
95,317
99,268
407,88
242,249
282,227
363,466
138,132
