source,target
8473,11497
15213,135
25021,1861
7968,20257
20859,248
1555,13471
8441,9661
8337,2056
13530,667
16640,14492
17824,1679
18643,13898
4672,18059
21817,22588
9411,675
1316,4851
2066,1267
26182,1458
1034,4858
7896,14567
