source,target
9820,15476
12049,20620
2896,14968
10063,17794
12793,11082
8014,13075
25661,6072
11146,25815
9471,12453
22634,1596
20545,10492
18939,8552
13254,2220
20656,4434
8220,23502
26141,1369
7893,1877
10753,1803
12012,4624
9616,7035
