source,target
4345,370
8441,15142
2426,14900
15127,16173
17824,25288
19211,19440
19651,2320
1316,10453
3766,18936
8473,24684
26182,15844
1555,228
17119,5045
8272,15040
8014,25036
8117,16285
21305,18999
4672,15153
19432,23967
17840,16387
