node1,node2
331,247
255,362
384,348
348,384
244,253
253,244
247,331
98,104
362,255
220,382
325,295
177,163
104,98
295,325
297,226
24,6
382,220
119,169
163,177
226,297
312,286
286,312
169,119
356,200
6,24
252,367
200,356
207,355
347,399
335,346
45,68
355,207
167,172
112,126
367,252
230,300
300,230
399,347
346,335
261,358
68,45
278,322
212,352
257,274
172,167
358,261
322,278
126,112
352,212
274,257
84,199
199,84
48,61
92,161
61,48
161,92
343,235
374,266
235,343
266,374
345,345
80,145
145,80
298,263
263,298
192,192
398,270
270,398
290,290
168,36
36,168
225,301
301,225
170,58
58,170
203,272
272,203
215,294
294,215
339,304
304,339
334,224
224,334
394,378
378,394
20,153
153,20
141,0
0,141
315,276
276,315
1,50
50,1
337,267
267,337
429,482
262,311
311,262
281,211
211,281
