node1,node2
280,212
467,474
204,309
212,280
315,339
309,204
339,315
245,360
360,245
474,467
310,345
308,281
345,310
252,246
376,313
281,308
231,338
363,351
284,233
313,376
338,231
351,363
246,252
233,284
454,422
208,282
255,319
319,255
282,208
422,454
298,362
324,394
362,298
230,256
394,324
256,230
367,316
316,367
232,285
317,258
387,241
205,206
258,317
241,387
225,276
406,466
285,232
472,494
447,428
276,225
206,205
323,218
395,227
304,295
456,498
379,238
227,395
295,304
238,379
494,472
466,406
465,473
290,393
393,290
218,323
428,447
390,325
498,456
325,390
260,368
335,312
473,465
312,335
368,260
289,226
226,289
485,457
433,402
341,254
224,385
385,224
254,341
402,433
457,485
450,488
386,217
217,386
488,450
333,220
220,333
327,392
392,327
405,414
414,405
334,359
359,334
478,417
437,435
417,478
435,437
