node1,node2
219,188
231,18
393,190
310,1
279,135
379,113
354,148
236,40
378,4
312,123
339,150
203,48
230,43
314,82
304,34
243,73
232,36
311,132
315,102
320,111
229,54
365,189
265,173
233,138
274,191
223,77
363,9
205,133
377,118
307,192
253,153
214,170
251,6
245,94
188,219
303,95
113,379
399,154
135,279
297,99
209,152
283,19
18,231
1,310
242,59
48,203
40,236
4,378
190,393
123,312
332,56
43,230
150,339
82,314
285,162
34,304
148,354
386,197
290,114
226,28
313,96
349,50
73,243
132,311
138,233
237,83
102,315
353,157
267,55
111,320
36,232
54,229
318,17
189,365
228,116
191,274
9,363
173,265
330,112
261,37
192,307
344,130
118,377
153,253
133,205
170,214
357,166
284,76
95,303
154,399
317,178
381,145
94,245
370,70
77,223
225,52
201,89
6,251
99,297
152,209
