node1,node2
289,33
287,161
352,127
363,194
244,39
33,289
299,34
219,191
161,287
358,173
232,80
127,352
194,363
247,144
39,244
285,30
306,180
230,73
343,95
286,79
274,19
34,299
191,219
368,190
279,104
173,358
270,146
374,197
262,115
80,232
388,62
212,106
144,247
379,92
371,153
251,198
30,285
254,13
201,24
367,32
180,306
73,230
253,86
79,286
19,274
235,105
95,343
366,107
204,164
269,94
347,82
298,159
305,145
317,12
354,154
246,101
231,165
190,368
197,374
146,270
104,279
115,262
314,118
62,388
302,28
106,212
349,156
248,110
337,65
385,166
227,40
237,5
198,251
92,379
208,56
153,371
223,1
365,188
309,193
24,201
13,254
222,177
278,112
206,53
294,111
380,38
281,172
86,253
296,124
213,81
264,185
32,367
326,61
164,204
107,366
12,317
105,235
82,347
159,298
145,305
