node1,node2
127,275
53,275
275,127
192,266
16,289
53,307
127,266
34,380
192,275
78,287
139,250
110,294
173,289
63,371
16,307
53,266
127,380
34,275
78,299
192,287
173,208
139,204
63,250
159,267
110,243
16,234
53,294
60,397
34,289
78,363
127,371
176,359
266,192
63,238
173,370
159,307
139,380
16,263
118,299
110,340
53,260
52,287
65,275
7,204
90,208
169,249
4,243
101,250
60,234
175,267
34,397
78,294
176,289
108,363
197,210
127,235
63,324
18,359
173,371
115,376
192,389
159,266
125,238
40,307
16,380
139,370
118,278
52,263
53,296
110,299
65,340
90,352
169,204
7,260
101,287
9,208
175,275
60,243
95,347
129,234
34,249
4,301
78,267
123,250
176,397
108,294
17,363
197,235
115,210
63,289
18,223
173,265
125,324
93,360
127,389
117,359
159,215
195,376
52,371
16,342
