node1,node2
139,208
16,208
95,285
139,371
16,289
95,287
53,294
40,384
139,275
127,208
16,378
95,371
146,285
53,265
52,352
40,289
50,287
101,234
16,384
173,294
139,377
86,223
185,310
34,290
65,208
159,275
127,291
95,219
169,285
146,307
53,378
63,265
52,200
40,371
24,397
41,380
50,363
39,352
101,393
125,247
173,225
161,234
176,321
16,212
60,296
86,287
126,289
34,243
185,384
108,294
65,377
139,310
159,290
146,223
175,208
53,316
169,266
95,291
127,219
52,275
63,254
145,325
165,285
128,392
50,308
9,370
24,265
40,307
39,360
194,397
163,380
173,305
125,378
101,200
94,284
41,371
73,250
19,355
86,269
30,374
62,352
123,225
126,299
16,373
176,363
171,302
181,393
17,247
78,234
34,283
161,296
117,321
198,263
65,347
118,376
185,243
159,365
166,229
108,212
60,384
