node1,node2
436,404
404,436
499,445
445,499
451,486
432,457
457,432
489,459
497,461
429,477
459,489
433,488
486,451
461,497
477,429
488,433
468,431
453,444
431,468
409,454
444,453
454,409
410,455
463,434
434,463
455,410
435,456
456,435
416,440
450,492
402,460
492,450
440,416
460,402
471,414
414,471
427,419
419,427
426,452
452,426
234,138
367,196
340,92
393,32
229,171
302,105
281,165
259,121
397,8
388,81
219,50
335,176
244,162
398,107
379,83
374,115
338,94
318,153
329,189
378,113
203,36
390,129
316,53
360,174
292,72
352,192
339,97
224,40
215,134
265,178
293,181
249,51
228,139
321,37
295,86
225,30
209,64
355,152
216,118
267,23
326,164
330,35
389,96
373,151
268,159
365,66
315,146
208,90
217,175
272,183
344,184
227,3
310,111
290,82
248,38
394,61
382,116
287,54
348,117
205,80
