node1,node2
294,127
127,294
322,53
371,61
307,192
53,322
287,10
342,86
61,371
363,9
299,69
265,173
192,307
278,33
10,287
86,342
304,34
9,363
391,146
361,110
268,165
367,80
69,299
173,265
395,79
33,278
247,92
388,104
235,26
34,304
243,73
146,391
165,268
110,361
80,367
378,4
279,135
79,395
296,81
92,247
366,105
244,119
104,388
239,78
334,24
215,39
26,235
73,243
231,18
337,13
236,40
305,101
386,197
352,0
390,5
226,28
374,194
135,279
326,161
4,378
339,150
323,195
314,95
81,296
105,366
119,244
379,113
78,239
204,125
303,82
24,334
285,162
39,215
338,106
13,337
40,236
18,231
270,30
302,100
267,55
101,305
197,386
377,118
0,352
5,390
28,226
313,96
399,154
291,126
262,180
194,374
249,156
161,326
341,122
150,339
95,314
195,323
233,138
218,115
125,204
