node1,node2
395,254
254,395
135,169
169,135
101,60
60,101
187,195
260,213
195,187
213,260
323,246
246,323
262,385
385,262
315,244
244,315
252,337
180,133
337,252
133,180
113,174
174,113
183,196
196,183
210,396
396,210
394,376
88,14
376,394
14,88
227,219
219,227
238,276
448,493
493,448
487,406
276,238
406,487
221,383
383,221
111,84
450,419
330,349
419,450
84,111
349,330
285,233
233,285
240,366
366,240
216,257
257,216
261,312
312,261
272,256
256,272
13,194
194,13
324,343
343,324
71,71
146,73
73,146
331,292
499,484
484,499
292,331
190,189
189,190
281,250
250,281
423,423
79,62
62,79
80,61
61,80
170,138
138,170
354,354
23,10
10,23
421,490
490,421
486,465
465,486
32,2
2,32
278,202
202,278
387,390
390,387
345,314
314,345
460,475
475,460
356,327
327,356
449,449
338,369
369,338
