node1,node2
450,268
333,420
420,333
443,184
268,450
184,443
109,383
387,197
383,109
197,387
314,464
370,411
407,250
453,346
107,457
482,367
464,314
411,370
260,358
250,407
346,453
457,107
408,80
351,319
358,260
367,482
191,72
474,135
249,302
319,351
72,191
80,408
302,249
135,474
382,124
124,382
196,131
131,196
313,159
159,313
458,452
492,274
449,378
357,496
467,117
182,493
291,256
393,459
246,404
169,448
339,478
137,179
161,70
92,229
86,366
102,301
19,142
322,451
263,483
297,290
181,374
379,369
277,345
127,462
9,217
349,122
435,418
252,239
61,403
270,289
112,235
426,16
332,475
441,494
194,276
243,101
5,337
163,326
212,265
96,445
380,238
308,133
50,95
171,94
447,48
151,295
71,294
198,348
347,76
432,69
195,321
175,42
312,455
344,30
384,23
32,362
288,114
40,47
247,258
66,284
