node1,node2
77,264
219,420
304,349
267,342
390,467
179,271
137,171
45,387
371,215
169,365
395,474
437,265
444,120
329,141
423,379
207,124
174,460
230,354
156,192
13,484
296,256
398,280
56,251
385,357
193,73
261,86
134,401
119,103
92,28
201,203
242,442
248,431
243,147
254,149
110,106
291,363
205,332
356,397
330,456
360,186
294,479
285,187
418,458
381,121
79,345
152,309
111,209
305,489
282,131
451,7
439,31
464,289
109,393
22,495
16,20
23,240
481,455
206,53
377,95
396,65
90,430
211,91
142,415
51,39
287,400
318,44
161,8
153,14
67,63
428,140
376,308
49,443
9,81
382,0
71,26
383,266
159,274
220,314
337,61
221,384
78,411
301,180
434,199
486,422
404,191
196,426
286,25
300,37
129,212
167,148
307,143
361,369
228,210
249,394
214,118
146,483
270,182
447,323
225,84
89,87
