node1,node2
349,286
286,349
203,371
327,285
358,260
381,368
341,425
237,303
387,318
318,387
328,378
378,328
225,210
210,225
330,399
399,330
232,283
169,137
312,234
371,203
252,292
292,252
316,419
214,230
230,214
137,169
143,346
279,157
104,410
215,317
303,237
336,361
361,336
346,143
283,232
314,228
317,215
228,314
234,312
260,358
194,333
425,341
290,150
162,287
171,238
353,295
150,290
311,32
287,162
208,403
285,327
244,240
32,311
186,269
238,171
218,60
256,151
403,208
333,194
419,316
255,246
240,244
269,186
60,218
295,353
151,256
265,266
397,181
313,288
241,226
155,249
302,264
206,154
276,224
157,279
227,221
37,262
307,217
134,106
154,206
226,241
249,155
245,298
127,209
224,276
106,134
454,308
209,127
288,313
262,37
148,212
242,187
145,284
53,98
221,227
87,248
293,375
181,397
98,53
212,148
