node1,node2
268,250
208,335
200,414
174,398
250,268
196,320
320,196
464,205
205,464
407,456
203,292
470,365
344,394
288,278
181,215
466,95
226,366
386,445
447,374
332,164
171,281
263,289
73,311
252,321
219,202
379,337
269,240
444,103
347,343
264,342
328,331
186,272
426,229
315,179
212,280
207,217
185,258
248,233
439,113
287,403
93,238
375,74
19,236
178,101
86,117
312,68
35,290
169,462
54,448
308,274
161,345
139,404
29,378
175,77
32,295
201,276
472,415
194,220
327,405
338,261
57,55
9,114
17,16
5,187
99,484
127,170
145,42
66,418
177,265
64,47
110,51
6,53
92,18
270,157
279,143
380,13
199,60
137,255
300,239
277,371
102,33
115,125
160,166
430,442
112,14
163,133
267,256
222,326
36,30
195,296
376,104
384,23
359,210
246,173
251,11
151,211
441,299
422,106
449,1
357,37
