node1,node2
464,419
408,378
334,342
275,361
342,334
419,464
391,162
315,333
361,275
162,391
378,408
314,374
347,345
333,315
374,314
298,270
146,227
273,399
73,440
136,242
270,298
227,146
399,273
220,303
345,347
109,455
242,136
228,388
47,383
204,460
319,360
40,392
310,454
205,362
215,285
66,420
43,382
257,286
362,205
128,325
156,311
280,473
104,446
87,431
311,156
149,422
45,427
286,257
212,297
103,268
360,319
200,395
383,47
190,416
18,436
69,308
285,215
325,128
454,310
328,351
297,212
268,103
336,318
440,73
53,287
382,43
351,328
70,354
287,53
65,430
430,65
93,76
19,469
0,373
265,353
245,122
64,445
199,236
170,241
7,453
32,401
76,93
303,220
72,282
12,343
392,40
354,70
367,317
302,305
60,400
119,331
165,324
100,344
395,200
236,199
15,357
343,12
24,413
241,170
446,104
