node1,node2
461,253
308,371
476,307
371,308
253,461
481,225
434,381
127,482
426,317
307,476
214,413
357,406
450,498
467,490
482,127
225,481
250,428
317,426
354,415
381,434
255,166
405,425
498,450
351,367
446,268
454,403
453,416
406,357
413,214
166,255
488,353
490,467
444,496
232,162
401,484
421,200
198,465
428,250
248,431
270,273
415,354
136,336
132,229
466,314
425,405
367,351
323,15
141,287
296,156
252,193
268,446
474,294
473,62
403,454
162,232
416,453
353,488
273,270
465,198
200,421
197,404
229,132
484,401
496,444
251,157
242,372
431,248
293,208
336,136
139,423
19,264
412,369
287,141
6,299
380,374
193,252
15,323
156,296
306,386
314,466
341,170
311,359
157,251
404,197
347,394
208,293
294,474
264,19
423,139
417,83
292,460
358,340
161,395
174,209
62,473
391,233
224,258
372,242
322,137
427,342
