node1,node2
481,371
476,428
371,481
461,307
428,476
308,415
307,461
488,490
491,319
466,233
214,253
415,308
232,225
434,314
253,214
490,488
454,336
233,466
354,416
319,491
357,162
225,232
141,381
250,268
473,475
456,455
314,434
296,394
162,357
401,209
497,317
336,454
417,406
416,354
323,166
381,141
268,250
347,156
132,413
475,473
209,401
375,223
394,296
317,497
364,458
455,456
156,347
129,363
166,323
405,157
161,235
173,170
430,193
406,417
413,132
248,342
224,459
136,395
158,62
462,423
223,375
391,329
170,173
302,273
458,364
363,129
157,405
62,158
235,161
193,430
342,248
242,452
459,224
174,285
395,136
427,276
306,477
204,340
479,338
324,367
127,368
197,94
423,462
273,302
198,83
6,425
446,388
312,78
322,164
329,391
426,295
421,108
251,183
351,353
244,496
452,242
495,200
470,247
285,174
450,264
