node1,node2
409,454
495,322
489,343
490,97
476,269
499,177
451,110
468,87
389,381
497,82
433,232
467,75
434,143
498,462
429,186
458,182
496,132
485,288
463,208
472,440
494,264
486,181
301,73
306,56
385,337
363,314
421,317
492,224
437,59
431,364
101,438
447,123
475,231
446,388
411,244
395,436
402,161
116,425
138,453
344,282
465,211
357,441
173,355
13,296
480,316
123,447
260,128
469,399
312,200
281,253
488,420
317,421
243,473
438,101
199,443
364,431
440,472
491,401
471,292
382,320
435,307
453,138
427,484
410,163
192,404
66,422
15,308
436,395
377,366
388,446
291,70
282,344
405,170
482,194
441,357
342,396
261,397
128,260
461,9
305,295
459,91
448,209
355,173
443,199
200,312
439,172
296,13
253,281
163,410
31,333
404,192
235,349
422,66
259,373
396,342
308,15
375,419
399,469
311,325
96,457
