node1,node2
200,223
130,196
196,130
116,156
156,116
443,285
327,365
470,374
93,394
207,30
186,220
466,37
20,65
386,278
315,215
447,15
332,366
171,104
32,445
263,164
277,281
269,311
175,321
102,1
444,95
86,337
66,256
161,117
6,10
248,289
439,343
287,114
17,14
375,21
252,77
219,255
379,16
344,210
99,229
312,55
226,280
163,238
264,326
54,133
308,239
29,403
73,342
139,290
270,233
426,404
127,378
96,369
194,211
201,415
472,166
35,272
338,405
328,113
357,261
288,331
181,179
110,42
92,106
359,43
145,18
5,173
137,484
36,101
9,240
347,418
2,47
279,33
380,51
212,258
115,103
199,23
300,48
19,143
430,53
169,236
178,276
177,442
267,170
222,462
246,296
112,157
120,401
376,299
384,34
64,125
251,60
247,74
441,371
273,428
88,235
422,274
449,448
432,217
136,399
160,221
